,interest,vaccancy,cpi,price,value,adj_price
2013-09-07,4.57,8.3,233.544,213500.0,174411.1352969944,91417.46309046689
2013-09-14,4.57,8.3,233.544,195000.0,174411.1352969944,83496.0435720892
2013-09-21,4.5,8.3,233.544,195000.0,174411.1352969944,83496.0435720892
2013-09-28,4.32,8.3,233.544,194000.0,174411.1352969944,83067.85873325796
2013-10-05,4.22,8.2,233.669,200000.0,175770.10935336168,85591.15672168751
2013-10-12,4.23,8.2,233.669,192000.0,175770.10935336168,82167.51045282002
2013-10-19,4.28,8.2,233.669,195000.0,175770.10935336168,83451.37780364533
2013-10-26,4.13,8.2,233.669,190000.0,175770.10935336168,81311.59888560313
2013-11-02,4.1,8.2,233.669,190000.0,175924.39100668975,81311.59888560313
2013-11-09,4.16,8.2,234.1,184950.0,175924.39100668975,79004.69884664674
2013-11-16,4.35,8.2,234.1,189399.0,175924.39100668975,80905.16873131141
2013-11-23,4.22,8.2,234.1,181525.0,175924.39100668975,77541.64886800513
2013-12-07,4.46,8.2,234.719,190000.0,176013.0801566329,80947.85679898091
2013-12-14,4.42,8.2,234.719,189700.0,176013.0801566329,80820.04439350884
2013-12-21,4.47,8.2,234.719,194000.0,176013.0801566329,82652.02220527525
2013-12-28,4.48,8.2,234.719,169000.0,176013.0801566329,72000.98841593564
2014-01-04,4.53,8.3,235.288,175000.0,175066.21544899902,74376.9338002788
2014-01-11,4.51,8.3,235.288,185000.0,175066.21544899902,78627.04430315188
2014-01-18,4.41,8.3,235.288,180000.0,175066.21544899902,76501.98905171534
2014-01-25,4.39,8.3,235.288,169600.0,175066.21544899902,72081.87412872734
2014-02-01,4.32,8.3,235.288,185000.0,174469.00608846828,78627.04430315188
2014-02-08,4.23,8.3,235.547,167000.0,174469.00608846828,70898.80151307383
2014-02-15,4.28,8.3,235.547,175000.0,174469.00608846828,74295.1512861552
2014-02-22,4.33,8.3,235.547,170000.0,174469.00608846828,72172.43267797933
2014-03-01,4.37,8.3,235.547,175000.0,175768.01729278767,74295.1512861552
2014-03-08,4.28,8.3,236.028,170000.0,175768.01729278767,72025.35292422933
2014-03-15,4.37,8.3,236.028,185000.0,175768.01729278767,78380.53112342603
2014-03-22,4.32,8.3,236.028,180000.0,175768.01729278767,76262.13839036047
2014-03-29,4.4,8.3,236.028,187000.0,175768.01729278767,79227.88821665227
2014-04-05,4.41,7.5,236.468,200000.0,177787.7048530823,84578.04015765346
2014-04-12,4.34,7.5,236.468,193700.0,177787.7048530823,81913.83189268738
2014-04-19,4.27,7.5,236.468,207250.0,177787.7048530823,87643.9941133684
2014-04-26,4.33,7.5,236.468,205250.0,177787.7048530823,86798.21371179188
2014-05-03,4.29,7.5,236.918,202000.0,181237.93548211196,85261.56729332512
2014-05-10,4.21,7.5,236.918,200000.0,181237.93548211196,84417.39335972784
2014-05-17,4.2,7.5,236.918,202000.0,181237.93548211196,85261.56729332512
2014-05-24,4.14,7.5,236.918,212750.0,181237.93548211196,89799.00218641048
2014-05-31,4.12,7.5,236.918,219250.0,181237.93548211196,92542.56747060164
2014-06-07,4.14,7.5,237.231,220000.0,184309.6340203148,92736.61536645718
2014-06-14,4.2,7.5,237.231,226000.0,184309.6340203148,95265.79578554236
2014-06-21,4.17,7.5,237.231,231750.0,184309.6340203148,97689.59368716567
2014-06-28,4.14,7.5,237.231,229500.0,184309.6340203148,96741.15103000872
2014-07-05,4.12,7.4,237.498,225000.0,187095.4955627648,94737.63989591491
2014-07-12,4.15,7.4,237.498,220000.0,187095.4955627648,92632.35900933902
2014-07-19,4.13,7.4,237.498,224000.0,187095.4955627648,94316.58371859974
2014-07-26,4.13,7.4,237.498,222000.0,187095.4955627648,93474.47136396938
2014-08-02,4.12,7.4,237.498,222500.0,188414.6546946216,93684.99945262697
2014-08-09,4.14,7.4,237.46,224000.0,188414.6546946216,94331.67691400656
2014-08-16,4.12,7.4,237.46,226000.0,188414.6546946216,95173.92402931019
2014-08-23,4.1,7.4,237.46,217250.0,188414.6546946216,91489.09289985681
2014-08-30,4.1,7.4,237.46,219900.0,188414.6546946216,92605.07032763412
2014-09-06,4.1,7.4,237.477,215000.0,188686.33707932252,90535.08339755007
2014-09-13,4.12,7.4,237.477,212000.0,188686.33707932252,89271.8031640959
