,interest,vaccancy,cpi,price,value,adj_price
2013-03-09,3.52,8.6,232.282,169400.0,153832.18675872547,72928.5954141948
2013-03-16,3.63,8.6,232.282,172500.0,153832.18675872547,74263.1801000508
2013-03-23,3.54,8.6,232.282,173500.0,153832.18675872547,74693.6912890366
2013-03-30,3.57,8.6,232.282,179900.0,153832.18675872547,77448.96289854574
2013-04-06,3.54,8.2,231.797,175000.0,155808.00900006297,75497.09444039396
2013-04-13,3.43,8.2,231.797,175000.0,155808.00900006297,75497.09444039396
2013-04-20,3.41,8.2,231.797,178000.0,155808.00900006297,76791.33034508643
2013-04-27,3.4,8.2,231.797,180000.0,155808.00900006297,77654.15428154808
2013-05-04,3.35,8.2,231.893,185000.0,158211.2313118803,79778.17355418231
2013-05-11,3.42,8.2,231.893,182000.0,158211.2313118803,78484.47344249288
2013-05-18,3.51,8.2,231.893,188000.0,158211.2313118803,81071.87366587175
2013-05-25,3.59,8.2,231.893,185000.0,158211.2313118803,79778.17355418231
2013-06-01,3.81,8.2,231.893,194000.0,160842.22850165327,83659.27388925065
2013-06-08,3.91,8.2,232.445,189900.0,160842.22850165327,81696.74546666954
2013-06-15,3.98,8.2,232.445,195000.0,160842.22850165327,83890.81288046636
2013-06-22,3.93,8.2,232.445,195000.0,160842.22850165327,83890.81288046636
2013-06-29,4.46,8.2,232.445,200000.0,160842.22850165327,86041.85936458087
2013-07-13,4.51,8.3,232.9,197000.0,162659.95499199964,84585.6590811507
2013-07-20,4.37,8.3,232.9,198500.0,162659.95499199964,85229.71232288536
2013-07-27,4.31,8.3,232.9,195000.0,162659.95499199964,83726.92142550451
2013-08-03,4.39,8.3,233.456,197000.0,164169.42537692917,84384.20944417792
2013-08-10,4.4,8.3,233.456,190000.0,164169.42537692917,81385.78575834418
2013-08-17,4.4,8.3,233.456,195000.0,164169.42537692917,83527.51696251114
2013-08-24,4.58,8.3,233.456,192000.0,164169.42537692917,82242.47824001097
2013-08-31,4.51,8.3,233.456,194000.0,164169.42537692917,83099.17072167776
2013-09-07,4.57,8.3,233.544,187000.0,165164.33414980158,80070.56486143937
2013-09-14,4.57,8.3,233.544,185000.0,165164.33414980158,79214.19518377693
2013-09-21,4.5,8.3,233.544,185000.0,165164.33414980158,79214.19518377693
2013-09-28,4.32,8.3,233.544,185000.0,165164.33414980158,79214.19518377693
2013-10-05,4.22,8.2,233.669,185000.0,165834.2969969907,79171.81996756095
2013-10-12,4.23,8.2,233.669,184000.0,165834.2969969907,78743.86418395251
2013-10-19,4.28,8.2,233.669,187000.0,165834.2969969907,80027.73153477782
2013-10-26,4.13,8.2,233.669,183500.0,165834.2969969907,78529.8862921483
2013-11-02,4.1,8.2,233.669,183500.0,165563.57987210227,78529.8862921483
2013-11-09,4.16,8.2,234.1,179000.0,165563.57987210227,76463.0499786416
2013-11-16,4.35,8.2,234.1,180000.0,165563.57987210227,76890.21785561726
2013-11-23,4.22,8.2,234.1,182000.0,165563.57987210227,77744.55360956857
2013-12-07,4.46,8.2,234.719,185000.0,165419.0788169441,78817.650041113
2013-12-14,4.42,8.2,234.719,185000.0,165419.0788169441,78817.650041113
2013-12-21,4.47,8.2,234.719,186500.0,165419.0788169441,79456.71206847337
2013-12-28,4.48,8.2,234.719,180000.0,165419.0788169441,76687.44328324508
2014-01-04,4.53,8.3,235.288,178500.0,165085.72467567268,75864.47247628438
2014-01-11,4.51,8.3,235.288,184000.0,165085.72467567268,78202.03325286457
2014-01-18,4.41,8.3,235.288,180000.0,165085.72467567268,76501.98905171534
2014-01-25,4.39,8.3,235.288,173000.0,165085.72467567268,73526.91169970419
2014-02-01,4.32,8.3,235.288,180000.0,165125.18972628517,76501.98905171534
2014-02-08,4.23,8.3,235.547,174000.0,165125.18972628517,73870.60756452003
2014-02-15,4.28,8.3,235.547,176000.0,165125.18972628517,74719.69500779037
2014-02-22,4.33,8.3,235.547,177500.0,165125.18972628517,75356.51059024314
2014-03-01,4.37,8.3,235.547,180280.0,166409.4116392246,76536.74213638892
2014-03-08,4.28,8.3,236.028,180000.0,166409.4116392246,76262.13839036047
2014-03-15,4.37,8.3,236.028,182000.0,166409.4116392246,77109.4954835867
2014-03-22,4.32,8.3,236.028,181000.0,166409.4116392246,76685.81693697358
2014-03-29,4.4,8.3,236.028,185000.0,166409.4116392246,78380.53112342603
2014-04-05,4.41,7.5,236.468,185000.0,168109.99286226614,78234.68714582946
2014-04-12,4.34,7.5,236.468,185000.0,168109.99286226614,78234.68714582946
2014-04-19,4.27,7.5,236.468,189900.0,168109.99286226614,80306.84912969197
2014-04-26,4.33,7.5,236.468,187000.0,168109.99286226614,79080.467547406
2014-05-03,4.29,7.5,236.918,192267.0,170441.1571794001,81153.39484547396
2014-05-10,4.21,7.5,236.918,190000.0,170441.1571794001,80196.52369174144
2014-05-17,4.2,7.5,236.918,192500.0,170441.1571794001,81251.74110873805
2014-05-24,4.14,7.5,236.918,193900.0,170441.1571794001,81842.66286225614
2014-05-31,4.12,7.5,236.918,198000.0,170441.1571794001,83573.21942613056
2014-06-07,4.14,7.5,237.231,195000.0,172310.79952094634,82198.36362026885
2014-06-14,4.2,7.5,237.231,199900.0,172310.79952094634,84263.86096252177
2014-06-21,4.17,7.5,237.231,200000.0,172310.79952094634,84306.01396950652
